"";"uzovi";"concern";"verz";"polisnr";"jaar";"label";"Naammodelovereenkomst";"premie";"soortpolis";"Onlinedeclareren";"Onlinedeclarerenverplicht";"viaappdeclareren";"X900";"Internetformulier";"Internetapotheek";"MSZ_verg";"GGZ_verg";"FYSIO_verg";"APO_verg";"CGApo";"CGFysio";"CGZbc";"CGZiekenhuis";"AanbiederID"
"124";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";106;"J2018";"ZorgDirect";"ZorgDirect Basisverzekering";1362;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"128";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";110;"J2018";"HollandZorg";"HollandZorg Basisverzekering";1360,8;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,9;0,72;0,54;1;105
"135";7029;"DSW-SH";"OWM DSW ZORGVERZEKERAAR U.A.";20;"J2018";"DSW, inTwente";"DSW polisvoorwaarden";1290;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"143";3343;"ONVZ";"ONVZ ZIEKTEKOSTENVERZEKERAAR N.V.";39;"J2018";"ONVZ, PNOzorg, VvAA zorgverzekering";"ONVZ Vrije Keuze Basisverzekering";1420,08;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"145";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";42;"J2018";"Salland";"Salland Basisverzekering";1218;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,9;0,9;0,9;0,9;1;0,72;0,54;1;105
"146";7037;"DSW-SH";"STAD HOLLAND ZORGVERZEKERAAR OWM U.A.";44;"J2018";"Stad Holland";"Stad Holland polisvoorwaarden";1326;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"155";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";57;"J2018";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Vrij Polis";1421,4;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"156";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";58;"J2018";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Zeker Polis";1379,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,8;0,8;0,8;0,8;0,85;0,71;0,51;1;105
"165";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";83;"J2018";"Ditzo";"Ditzo Basisverzekering";1235,4;"Combinatie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;105
"166";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";84;"J2018";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Gemak Polis";1247,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,85;0,71;0,51;1;105
"172";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";96;"J2018";"Amersfoortse";"Amersfoortse Restitutie";1506;"Restitutie";"ja";"nee";"nee";"nee";"nee";"nee";1;1;1;1;1;1;1;1;105
